Start Eff Date,End Eff Date,Cost,Cnty,State,City,Zip,Svc,Mat,SCode,Mkt,Qty,Cnt per wk,Equip,Size Code,Yd Size,Covid
11/1/2020,5/31/2021,72.88,Walworth,WI,ELKHORN,53121,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
11/1/2020,5/31/2021,39.33,Rock,WI,JANESVILLE,53546,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
11/1/2020,5/31/2021,114.44,Winnebago,IL,ROCKFORD,61107,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
11/1/2020,5/31/2021,43.63,Shawano,WI,GRESHAM,54128,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
11/1/2020,5/31/2021,55.76,Dunn,WI,MENOMONIE,54751,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
11/1/2020,5/31/2021,113.11,Winnebago,IL,ROCKFORD,61108,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
11/1/2020,5/31/2021,146.94,Grant,WI,PLATTEVILLE,53818,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
11/1/2020,5/31/2021,85.49,Rock,WI,BELOIT,53511,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
1/1/2021,6/30/2021,235.93,Parker,TX,WEATHERFORD,76087,PCK,T,NULL,Open,1,1,DMP,YRDS-6,6,Post
6/15/2021,8/30/2021,135.55,Fayette,IN,CONNERSVILLE,47331,PCK,T,NULL,Open,1,1,DMP,YRDS-8,8,Post
4/23/2021,11/30/2021,75,Santa Rosa,FL,JAY,32565,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
11/1/2020,11/30/2021,72.02,Clarke,GA,ATHENS,30605,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
5/1/2021,11/30/2021,102,Putnam,FL,CRESCENT CITY,32112,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
12/1/2020,4/30/2021,106.44,Putnam,FL,CRESCENT CITY,32112,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
8/1/2021,11/30/2021,103.12,Putnam,FL,INTERLACHEN,32148,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
5/1/2021,7/31/2021,99,Putnam,FL,INTERLACHEN,32148,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
12/1/2020,4/30/2021,101.61,Putnam,FL,INTERLACHEN,32148,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
10/19/2020,2/17/2021,120,Hancock,IN,MCCORDSVILLE,46055,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
8/1/2019,4/30/2021,94.56,Gilmer,GA,ELLIJAY,30540,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Pre
8/1/2019,4/30/2021,106.56,Lumpkin,GA,DAHLONEGA,30533,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Pre
10/1/2019,5/31/2021,95.98,Boyd,KY,ASHLAND,41102,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Pre
1/1/2021,4/30/2021,187.94,Polk,FL,DAVENPORT,33896,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
1/1/2021,5/31/2021,176.65,Polk,FL,LAKELAND,33813,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
1/1/2021,4/30/2021,133.81,Jefferson,TX,BEAUMONT,77706,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
8/1/2019,4/30/2021,86.56,Douglas,GA,DOUGLASVILLE,30135,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Pre
1/1/2021,4/30/2021,120.65,Lake,OH,KIRTLAND,44094,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
1/1/2021,4/30/2021,86.22,Fort Bend,TX,RICHMOND,77406,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
1/1/2021,4/30/2021,203.51,Harris,TX,HOUSTON,77070,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
8/1/2019,5/31/2021,55.55,Cherokee,NC,MURPHY,28906,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Pre
1/1/2021,4/30/2021,90.24,Harris,TX,BAYTOWN,77521,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
1/1/2021,4/30/2021,133.81,Orange,TX,VIDOR,77662,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
1/1/2021,4/30/2021,176.65,Polk,FL,WINTER HAVEN,33880,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
5/1/2019,4/30/2021,45.39,Clarke,GA,ATHENS,30606,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Pre
8/1/2019,3/31/2021,82.82,Saint Johns,FL,ST AUGUSTINE,32086,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Pre
8/1/2019,3/31/2021,85.85,Nassau,FL,HILLIARD,32046,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Pre
8/1/2019,4/30/2021,79,Forsyth,GA,CUMMING,30040,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Pre
1/1/2021,4/30/2021,204.41,Montgomery,TX,THE WOODLANDS,77381,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Post
9/1/2019,4/30/2021,80,Rockdale,GA,CONYERS,30013,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Pre
6/8/2020,6/30/2021,103.98,Lake,IL,MUNDELEIN,60060,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Pre
3/1/2020,4/30/2021,69.93,Gwinnett,GA,SUWANEE,30024,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Pre
6/8/2020,7/31/2021,104.19,Du Page,IL,WHEATON,60189,PCK,T,NULL,Open,1,1,DMP,YRDS-4,4,Pre
